Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins
0,59,1,1,2.3,2,120.9,97,62,10.65,8.5
0,65,1,0,0,3,211.3,120,50,8.13,13.2
0,142,1,0,0.35,2,187,133,47.5,6.73,7.4
1,119,1,0,0,5,159.1,114,47,11.57,8.8
0,97,1,1,2.97,1,133.2,135,71.7,10.86,11
0,52,1,0,0.32,3,191.9,108,59.2,13.49,7.8
0,60,1,0,0,1,220.6,57,56,10.56,6.8
0,10,1,0,0,2,186.1,112,48,9.51,11.4
0,96,1,0,0.21,2,160.2,117,52.1,13.38,9.3
1,87,1,0,0,5,151,83,45,10.99,9.7
0,81,1,0,0.11,1,175.5,67,53.1,12.47,10.2
0,141,1,0,0,1,126.9,98,37,9,8
1,121,1,1,1.57,3,198.4,129,56.7,3.77,5.8
0,68,1,0,0,3,148.8,70,47,12.33,12.1
0,125,1,0,0,1,229.3,103,55,8.87,12
0,174,1,0,0,1,192.1,97,48,8.5,11.4
0,116,1,1,3.13,2,268.6,83,92.3,8.91,11.6
0,74,1,1,3.94,2,193.7,91,93.4,12.31,14.6
0,149,1,1,3.4,3,180.7,92,81,9.39,12.6
0,38,1,0,0,2,131.2,98,37,8.15,8.2
0,40,1,1,1.67,2,148.1,74,56.7,8.48,6.2
0,43,0,0,0,0,251.5,105,61,10.64,9.3
0,113,0,0,0,0,125.2,93,39,10.32,8.3
0,126,1,0,0,1,211.6,70,55,10.85,7.8
1,150,1,0,0,4,178.9,101,45,8.46,13.8
0,138,1,0,0,3,241.8,93,56,8.53,11.8
0,162,1,1,3.27,0,224.9,97,87.7,9.41,12.1
0,147,1,0,0,3,248.6,83,55,7.45,8
0,90,1,0,0,1,203.4,146,54,11.34,7.3
0,85,1,0,0,0,235.8,109,54,7.86,12
0,50,1,0,0,1,157.1,90,46,11.17,6.1
1,82,1,0,0.21,0,300.3,109,69.1,9.05,11.7
1,144,1,0,0.21,4,61.6,117,20.1,3.86,8.2
0,46,1,0,0.26,2,214.1,72,53.6,8.22,8.2
0,70,1,0,0.3,1,170.2,98,46,7.76,15
0,144,1,0,0,1,201.1,99,60,15.18,13.2
0,116,0,0,0.3,3,215.4,104,58,10.24,12.6
0,55,1,1,2.97,3,165.6,123,69.7,6.81,11
0,70,1,1,2.65,1,249.5,101,91.5,12.99,9.8
1,106,1,0,0,2,210.6,96,57,12.46,12.4
0,128,1,1,2.32,0,179.3,104,73.2,11.3,8.6
1,94,1,0,0,4,157.9,105,41,7.75,8
0,111,1,0,0,1,214.3,118,55,10.43,12
0,74,1,1,2.94,2,154.1,104,66.4,6.17,10.9
1,128,1,0,0,1,237.9,125,62,12.38,13.9
0,82,1,0,0.17,1,143.9,61,43.7,9.75,11.1
1,155,1,0,0,0,203.4,100,51,9.55,8.9
0,80,1,0,0,1,124.3,100,36,8.65,7.9
0,78,1,0,0,3,252.9,93,59,8.92,9.5
0,90,1,0,0,3,179.1,71,47,9.53,10.6
0,104,1,0,0.3,1,278.4,106,58,4.05,9.8
0,73,1,0,0,0,160.1,110,46,10.67,13
0,99,1,0,0,4,198.2,87,52,10.37,8.7
1,120,1,0,0,1,212.1,131,54,10.47,5.3
1,77,1,0,0,2,251.8,72,61,10.29,9.8
0,98,1,1,1.19,4,161.2,114,60.9,12.61,4.4
0,108,1,0,0.34,0,178.3,137,50.4,9.45,14.6
0,135,1,0,0,0,151.7,82,36,5.95,10.5
0,95,1,0,0,1,135,99,39,9.18,12.5
0,122,1,0,0.39,1,170.5,94,47.9,8.69,11.3
0,95,1,0,0,4,238.1,65,57,9.36,11.8
0,36,1,1,2.43,2,281.4,102,90.3,10.11,9
0,93,1,1,2.65,1,117.9,131,61.5,8.23,9.8
0,141,1,1,2.73,1,148.6,91,64.3,6.56,10.1
0,157,1,0,0,3,229.8,90,52,7.4,9.6
0,120,1,0,0,1,165,100,56,15.86,8.3
0,103,1,0,0,2,185,117,51,11.17,12.6
0,98,1,0,0,4,161,117,44,9.55,12.1
0,125,1,0,0,1,126.7,108,40,10.3,13.3
0,63,1,0,0,1,58.9,125,25,8.48,9.4
1,36,0,1,5.4,0,196.8,89,110,12.75,20
0,64,1,0,0.29,1,162.6,83,43.9,7.62,14.2
1,74,1,0,0.21,1,282.5,114,69.1,11,9.4
0,112,1,1,2.7,2,113.7,117,60,7.88,10
0,97,1,0,0,2,239.8,125,60,10.74,8.7
0,46,1,0,0.21,1,210.2,92,58.1,11.37,13.1
0,41,1,1,1.94,0,213.8,102,68.4,7.09,7.2
0,121,1,0,0,3,190.7,103,49,9.18,9.8
0,193,1,0,0,1,170.9,124,41,6.62,11.6
0,130,1,0,0,2,154.2,119,36,5.51,9.2
0,85,1,0,0.4,1,201.4,52,58,11.47,12
1,162,1,0,0,4,70.7,108,26,7.88,9.1
1,61,1,1,1.73,4,187.5,124,62.3,7.33,6.4
0,92,1,0,0,2,91.7,90,33,9.69,9.2
0,131,1,1,2.57,3,214.2,115,76.7,8.09,9.5
0,90,1,0,0,3,145.5,92,44,10.89,10.9
0,75,1,0,0,1,166.3,125,42,7.91,6.1
0,78,1,0,0,1,231,115,59,11.52,9.5
0,82,1,0,0,4,200.3,96,52,10.06,7.1
0,163,1,0,0,1,197,109,51,10.13,9.1
0,91,0,0,0.31,3,129.9,112,40.1,8.67,11.2
0,75,1,1,1.43,5,175.8,97,63.3,10.88,5.3
0,91,1,0,0,3,203.1,106,53,10.51,12
0,127,1,1,3.02,1,183.2,117,72.2,6.34,11.2
0,113,1,1,2.75,2,205,101,75.5,7.6,10.2
0,110,1,0,0,1,148.5,115,49,13.82,12.4
0,120,1,1,2.84,0,200.3,68,81.4,11.02,10.5
0,157,1,1,1.84,3,192.6,107,68.4,9.78,6.8
0,103,1,0,0,1,246.5,47,59,9.78,11.7
1,117,0,0,0,2,167.1,86,44,8.88,14.1
0,140,1,0,0,3,231.9,101,54,8.01,14.3
0,127,1,0,0,1,146.7,91,43,10.18,13.7
0,83,0,0,0.26,1,271.5,87,67.6,10.82,11.7
0,121,1,0,0,1,181.5,121,50,10.92,8.5
0,145,1,1,3,2,257.7,97,88,8.11,11.1
0,113,1,0,0,1,193.8,99,52,11.07,10.6
0,117,1,0,0,1,102.8,119,36,10.34,10.1
0,65,1,0,0,1,187.9,116,46,7.88,7.5
0,56,1,0,0,1,226,112,60,12.43,6.9
0,96,1,0,0,5,260.4,115,57,7.3,11.5
0,151,1,0,0,0,178.7,116,56,14.61,9.8
1,83,1,0,0,0,337.4,120,77,11.37,15.8
0,139,1,1,3.7,0,157.6,129,85,12.35,13.7
0,6,1,0,0,1,183.6,117,54,12.84,10.2
0,115,1,1,2.59,1,142.1,124,65.9,9.17,9.6
0,87,1,0,0.31,0,136.3,97,41.1,8.61,7.1
0,141,1,0,0,0,217.1,110,58,12.08,12
0,141,1,1,2.84,3,187.5,99,81.4,12.07,10.5
0,62,1,0,0,1,98.9,103,29,6.77,12.2
0,146,1,0,0,1,206.3,151,48,7.43,6.1
0,92,1,1,3.27,2,243.1,92,92.7,10.69,12.1
0,185,1,1,2.03,1,189.8,126,67.3,8.17,7.5
0,148,1,0,0.39,1,202,102,59.9,12.16,10.9
0,94,1,1,3.46,1,170.1,124,80.6,9.67,12.8
0,32,1,0,0,0,230.9,87,56,9.37,6.3
0,68,1,0,0,1,237.1,105,60,11.18,13.2
0,64,1,1,2.86,2,182.1,91,74.6,8.49,10.6
0,25,1,0,0.14,3,119.3,87,40.4,10.58,10.5
0,65,1,0,0,1,116.8,87,36,8.95,14.1
0,179,1,0,0,0,219.2,92,50,7.47,6.1
0,94,1,0,0,2,252.6,104,58,8.45,11.1
0,62,1,0,0,0,147.1,91,42,9.52,12.2
0,127,1,0,0,2,202.1,103,54,11.47,11.5
0,116,1,0,0.23,3,173.5,93,48.3,9.71,16.2
0,70,1,0,0,3,232.1,122,65,14.62,0
0,94,0,1,2.57,4,197.1,125,77.7,10.73,9.5
1,126,1,0,0,5,58.2,94,22,6.94,11.9
0,67,1,1,2.67,2,115.6,111,66.7,11.89,9.9
0,19,1,0,0.14,2,186.1,98,55.4,12.72,14.6
0,170,0,0,0,3,259.9,68,66,12.25,8.4
0,73,1,0,0,1,214.3,145,60,13.43,10.8
0,106,1,0,0,1,158.7,74,33,3.22,10.2
0,93,1,0,0.19,2,271.6,71,67.9,11.47,10.9
0,164,1,0,0.27,1,160.6,111,44.7,8.16,9
0,51,1,0,0,1,232.4,109,56,9.37,9.1
0,107,1,0,0,0,133.8,85,39,9.03,8.9
0,130,1,0,0.35,1,176.9,109,41.5,4.54,9.5
0,80,1,0,0,2,209.9,74,53,9.76,8.8
0,94,1,0,0.22,0,137.5,118,43.2,10.16,13.4
0,118,1,1,2.57,1,289.5,52,89.7,8.33,9.5
0,117,1,1,1.84,1,198.1,86,67.4,8.85,6.8
0,78,1,0,0,0,149.7,119,41,9.11,9.7
1,208,1,0,0.33,2,326.5,67,74.3,8.82,10.7
1,131,0,1,3.73,4,292.9,101,104.3,9.99,13.8
0,63,1,0,0,0,83,64,30,8.85,13
0,53,1,1,3.54,3,145.7,146,79.4,11.03,13.1
0,62,1,0,0,2,182.3,101,59,16.41,11.2
0,97,1,0,0,3,218,86,53,9.2,6.4
0,105,1,0,0,2,140.6,109,40,8.93,6.8
0,157,1,0,0,1,152.7,105,48,12.88,9.4
0,66,1,1,3.27,1,106.7,76,68.7,10.49,12.1
0,122,1,0,0,2,243.8,98,49,4.2,13.7
0,38,1,0,0,3,194.4,94,49,9.34,10.8
0,106,1,0,0,3,213.9,95,50,7.6,12.2
0,99,1,0,0,3,217.2,112,58,12.34,15.8
0,99,1,0,0,1,241.1,72,55,7.78,11.6
0,144,0,0,0,0,203.5,100,56,12.38,11.9
0,82,1,1,2.89,1,155.2,131,76.9,12.23,10.7
0,86,1,1,3.29,1,167.6,139,71.9,5.65,12.2
1,70,0,0,0,2,226.7,98,58,11.41,17.6
0,93,1,0,0,3,179.3,93,46,8.93,11.5
0,93,1,0,0.31,0,151.4,89,45.1,9.32,10.9
0,120,1,0,0,3,180,80,50,11.21,4.7
1,136,1,0,0,1,250.2,121,66,13.36,13
0,106,1,0,0.4,0,223,121,52,5.51,7.1
0,81,1,0,0,3,183.6,116,45,7.63,12.2
0,127,1,1,2.75,1,166,114,71.5,8.73,10.2
0,65,1,0,0,1,136.1,112,47,13.65,4.4
0,35,1,0,0.32,2,149.3,113,49.2,12.11,8.9
0,88,1,0,0,2,65.4,97,26,8.41,13.8
0,65,1,0,0,1,213.4,111,57,11.73,2.7
0,123,1,0,0,3,206.9,85,56,12.24,7.7
0,126,1,1,2.59,2,186.2,78,73.9,9.48,9.6
0,104,1,1,3.59,4,280.2,136,102.9,11.03,13.3
0,45,1,1,3.21,0,196.6,84,93.1,15.66,11.9
1,93,0,0,0,0,312,109,65,6.47,10.5
0,63,0,1,2.97,1,199,110,88.7,14.57,11
0,100,1,0,0.25,3,203.1,96,55.5,10.85,13.5
0,53,1,0,0,0,168.8,97,48,11.02,10.9
0,92,0,0,0,1,173.1,140,50,12.02,9
1,139,1,0,0,5,134.4,106,41,10.57,10.2
0,110,1,1,2.43,2,202.6,103,69.3,5.94,9
0,110,1,0,0.31,3,74.5,117,33.1,10.04,9.8
0,215,1,0,0.31,0,83.6,148,28.1,6.05,10.7
0,73,1,0,0,1,192.2,86,47,8.43,9.4
0,138,1,0,0,0,220.2,89,45,4.42,12.9
1,137,0,0,0,2,135.1,95,35,6.71,12.3
0,36,1,0,0.25,1,253.4,77,61.5,9.12,8.4
0,85,1,0,0,3,225,81,54,8.85,7.1
1,108,1,0,0,0,198.5,99,57,13.39,9.4
0,22,1,0,0,0,110.3,107,33,8.33,9.5
0,107,1,1,3,0,60,102,49,5.11,11.1
0,51,1,0,0,0,214.8,94,50,7.49,10.2
0,94,1,0,0,4,181.8,85,49,10.12,9.2
0,119,1,1,3.19,2,154,114,81.9,13.9,11.8
1,33,1,1,3.75,4,157.4,99,74.5,5.9,13.9
0,106,1,0,0,4,207.9,91,50,8.6,14.4
0,82,1,0,0,3,207,90,55,11.65,9.1
0,86,1,1,2.57,0,119,101,65.7,11.5,9.5
0,97,0,0,0.28,0,143.7,117,50.8,13.65,10.9
0,106,1,1,3.81,4,165.9,126,85.1,10.83,14.1
0,108,1,0,0,1,138.6,122,39,8.62,9.8
0,114,1,0,0.29,1,84.7,118,38.9,12.5,14.5
1,92,0,0,0,1,62.6,111,26,9.03,10.4
0,59,1,0,0,1,155.2,79,47,11.77,8.7
0,24,1,1,1.81,1,164.9,110,64.1,10.47,6.7
0,151,1,0,0,1,134.5,88,36,7.16,15.4
0,117,1,0,0,1,143.3,103,43,10.57,11.5
0,78,1,0,0.51,1,168.3,110,53.1,11.06,12.5
0,155,1,0,0,2,262.4,55,62,9.73,8.3
0,114,1,1,3.08,1,206.2,79,88.8,13,11.4
0,114,1,1,2.27,4,225.8,94,77.7,9.65,8.4
0,119,1,0,0,3,138.3,89,38,8.53,13.5
0,64,1,1,1.22,0,94.4,104,40.2,6.81,4.5
0,118,0,0,0,2,160,123,43,8.77,9.9
0,101,1,0,0,0,206.6,105,55,11.25,14.6
0,117,1,0,0,1,134.7,121,39,9,7.7
0,49,1,1,2.16,3,214.4,78,78.6,11.76,8
0,139,1,0,0,3,192.8,104,53,11.72,13
0,92,1,1,2.7,1,151.1,90,70,9.74,10
0,83,1,0,0,3,221.4,103,58,11.59,9.8
0,148,0,0,0,0,218.9,88,55,10.4,11.1
1,144,1,1,1.76,2,189.8,96,60.6,6.17,6.5
0,131,1,1,2.94,2,192.7,85,81.4,11.3,10.9
0,146,0,0,0,3,204.4,135,54,10.96,10.5
0,143,1,0,0.42,2,172.3,97,49.2,8.7,13
0,81,1,0,0.13,2,198.4,93,53.3,10.55,10.4
0,48,1,1,3.29,1,211.7,115,82.9,8,12.2
0,86,1,1,2.43,1,221.6,74,87.3,14.42,9
0,71,1,0,0,3,197.9,108,50,9.08,6.7
0,145,1,1,4.21,2,147.5,90,83.1,8.79,15.6
0,137,1,0,0,2,206.4,122,46,6.4,8.8
0,137,1,0,0.27,2,205.9,88,55.7,10.47,14.5
0,167,1,0,0,0,207.6,88,47,6.62,14.1
1,89,1,0,0,1,303.9,95,74,13.05,5.3
0,199,1,1,2.16,0,230.6,121,79.6,10.97,8
0,132,1,0,0,0,99.5,110,28,6.46,9.7
0,94,1,0,0,1,177.1,112,47,9.7,5.9
1,96,1,1,2.78,5,172.7,93,67.8,6.01,10.3
0,96,1,1,2.65,1,172.7,86,67.5,6.67,9.8
0,166,1,0,0.29,1,204.2,115,52.9,9,9.5
0,74,1,0,0.2,2,85.7,83,38,12.39,10.1
0,36,1,0,0.34,0,157.6,117,46.4,9.22,11.9
0,113,1,0,0,4,215.5,129,56,10.94,6.6
0,94,1,0,0,1,181.5,98,48,10,6.6
0,67,1,0,0,2,171.7,80,39,5.52,11.9
1,127,1,0,0.26,1,266.6,106,70.6,13.24,5.9
1,121,1,0,0,0,170.4,108,59,17.53,11.2
0,158,1,0,0,1,158,106,52,14.63,9.1
0,136,1,0,0.34,1,92,117,41.4,12.68,10.3
0,196,1,0,0,2,234,109,61,12.48,9.1
1,113,1,0,0,1,272.1,111,70,13.43,8.5
1,122,1,0,0,4,296.4,99,69,10.74,11.4
0,112,1,0,0.29,0,194.4,101,52.9,9.52,11.4
0,209,1,0,0,3,227.2,128,61,12.92,8.9
1,62,1,0,0,1,248.7,109,61,11,13.2
0,110,1,1,2.62,1,236.3,102,83.2,9.8,9.7
0,16,1,0,0,0,205.6,69,50,8.48,10.9
0,73,1,0,0,0,94.1,136,40,14.02,9.8
0,128,1,0,0,0,125.2,99,39,10.27,18.9
0,39,1,0,0.23,1,60.4,158,39.3,15.31,12.4
0,103,1,1,2.08,2,121,105,64.8,13.52,7.7
0,119,1,1,2.05,3,117.8,66,62.5,12.84,7.6
0,173,1,1,1.35,3,232.4,96,71.5,10.6,5
1,128,0,1,2.54,2,223.5,81,80.4,9.44,9.4
0,86,1,0,0,0,176.3,79,52,12.96,6.2
0,114,1,1,3.48,1,125.2,79,71.8,8.89,12.9
0,104,1,0,0,0,138.7,107,46,12.85,10
0,148,1,0,0,1,86.3,134,36,12.33,11.3
0,129,1,0,0,3,207,91,49,7.75,13.4
0,100,1,1,1.92,0,58.8,104,48.2,10.98,7.1
0,121,1,1,3.08,1,68.7,95,60.8,10.46,11.4
0,143,1,1,2.57,1,239.2,109,86.7,11.78,9.5
0,76,1,0,0,0,198.3,130,53,10.86,12.5
0,158,1,0,0.14,0,205.2,97,57.4,12.03,14.4
0,116,1,0,0.24,3,192.1,98,62.4,15.65,7.9
1,54,1,0,0,1,272.6,83,68,12.44,9.5
1,86,1,0,0.3,7,128.3,121,42,9.86,12.2
0,108,1,0,0,0,169.6,99,52,13.21,9.3
0,66,1,0,0,1,201.3,95,48,7.64,7.5
0,151,1,1,2.32,1,214.7,97,72.2,6.93,8.6
0,99,1,0,0,0,169.2,70,52,13.58,10.6
0,55,1,0,0,2,194.1,121,49,8.83,7
0,77,1,0,0,2,233.8,104,63,13.33,7.6
0,78,1,0,0,0,225.1,67,56,9.96,14.6
1,89,1,0,0,1,213,63,52,8.83,9.1
0,101,1,0,0,1,183.9,115,54,12.8,10.8
0,44,1,1,3.78,0,221.8,105,89.8,8.09,14
0,98,1,1,0,2,64.6,98,26,8.81,0
0,64,1,1,3.59,1,154.6,92,69.9,4.17,13.3
0,141,1,0,0,3,260.2,131,60,8.96,7.2
0,81,1,1,3.29,1,161.6,117,70.9,6.15,12.2
0,162,1,0,0,1,220.6,117,51,7.76,10.5
0,83,1,1,3.54,3,155.9,122,76.4,8.12,13.1
1,100,1,0,0.34,4,107,63,31.4,5.29,12.8
0,59,1,0,0.51,4,182.5,104,54.1,10.24,11.3
0,179,0,1,2.73,4,220.1,78,85.3,11.72,10.1
0,79,1,0,0,1,152.2,112,41,8.86,5.3
0,117,1,0,0,2,181.5,95,49,10.26,14.7
1,64,0,0,0.18,2,236.2,77,60.8,10.93,13.2
0,31,1,0,0.28,1,166.1,105,37.8,3.97,12.7
0,124,0,0,0,1,244.6,89,58,9.44,11.3
0,122,1,1,2.3,2,134.2,85,66,11.37,8.5
0,37,0,1,2.48,1,149.7,122,68.8,10.56,9.2
0,90,1,1,1.57,1,150.1,109,64.7,13.24,5.8
1,159,0,0,0.44,1,257.1,53,75.4,15.61,8.8
0,148,1,0,0,0,124.4,83,37,8.99,11.3
0,39,1,1,3.24,1,141.7,121,76.4,11.62,12
0,77,1,0,0.14,2,230,87,49.4,5.16,11.3
0,194,1,0,0,0,162.3,88,46,10.69,10.9
1,154,1,0,0,1,350.8,75,79,10.83,10.1
0,112,1,0,0,4,193.3,96,56,13.21,9.1
0,45,1,0,0,1,78.2,127,35,12.67,18
0,132,1,0,0.22,1,83.4,110,36.2,11.61,7.6
0,128,1,0,0.28,0,195.6,99,59.8,13.39,16
0,135,1,0,0.42,1,201.8,81,58.2,11.25,10.3
0,56,1,0,0,2,197,110,53,11.14,10.6
1,151,0,0,0.29,0,218,57,49.9,5.72,12.4
0,32,1,0,0,2,164.8,98,48,11.5,14.8
0,90,1,0,0,2,179.2,77,49,10.54,9.2
0,87,1,1,2.86,0,214,113,80.6,9,10.6
0,138,1,0,0.43,2,170.5,87,44.3,5.91,11.2
0,79,1,0,0,1,205.7,123,54,10.73,6.7
1,95,0,0,0,1,165.5,84,53,14.31,11.5
0,127,1,0,0.33,2,221,100,55.3,8.04,6.8
0,137,1,0,0,3,242.1,118,58,9.55,14.7
0,97,1,0,0,1,151.6,107,39,7.77,14.7
0,149,0,0,0.18,0,176.2,87,44.8,7.25,5.7
0,117,0,1,1,1,196,82,71,16.14,3.7
0,84,1,0,0,2,159.5,125,49,12.36,7.2
0,137,1,0,0.45,4,230.2,113,62.5,11.02,10.7
0,99,1,0,0,3,146.7,64,49,13.7,8.9
0,54,1,0,0,1,210.5,102,54,10.23,8.5
0,85,1,0,0,1,102,95,41,13.51,10.7
0,150,1,0,0.36,3,126,99,45.6,11.93,10.2
0,43,1,0,0,1,168.4,125,50,12.19,11.1
0,35,1,0,0,0,105.6,129,40,12.91,8.7
0,98,1,0,0,5,206.5,92,51,8.81,12.4
0,112,1,0,0.27,2,217.1,76,57.7,10.26,9.4
1,16,1,0,0,0,229.6,78,57,10.29,10.8
0,98,1,1,2.62,0,278.3,89,82.2,4.67,9.7
0,84,1,0,0,0,138.6,102,41,9.95,7.8
1,94,1,0,0.18,1,234.4,103,65.8,13.97,2
0,84,1,0,0,1,181.5,129,42,6.54,8.5
1,66,1,0,0,1,167.3,91,48,11.5,10.6
0,98,1,1,3.24,1,121,105,72.4,10.95,12
0,74,1,0,0,0,221.1,124,48,5.54,10.6
0,96,1,1,2.67,1,145.8,108,68.7,9.61,9.9
0,119,1,0,0.34,1,222.8,122,55.4,8.16,11.2
0,73,1,0,0,4,183.4,80,52,12.1,7.5
0,92,0,0,0,0,264.3,91,59,8.05,9.3
0,21,1,0,0,0,146,78,35,5.49,6.8
1,122,1,0,0.29,4,157.1,134,45.9,9.25,8.5
0,133,0,0,0,1,127.3,108,43,12.57,10.3
0,145,1,0,0,2,187.9,110,49,9.85,4.8
0,25,1,0,0.26,2,178.8,90,45.6,7.06,8.4
0,64,1,0,0.28,2,97.2,80,35.8,9.31,10.4
0,85,1,0,0.2,0,259.8,85,67,12.12,5.4
0,126,1,0,0,3,256.5,112,61,9.98,7
0,76,1,0,0,0,169.5,77,40,6.2,10
1,113,1,0,0,2,239.7,47,65,14.15,8.7
1,224,0,0,0.26,1,171.5,99,45.6,8,5
0,117,1,0,0,0,239.9,84,56,8.74,9.8
0,128,1,1,4.32,1,142.3,73,84.2,9.74,16
0,115,1,0,0,2,184.1,98,60,16.35,7.5
0,141,1,1,2.51,2,206.9,126,83.1,13.22,9.3
0,51,1,0,0,1,259.9,114,60,8.81,15.3
0,100,1,0,0,0,203.8,122,59,14.16,12.5
0,96,1,1,2.78,3,248.8,124,82.8,7.02,10.3
0,112,1,1,3.05,1,221.6,110,79.5,6.51,11.3
0,129,0,0,0.39,1,192.9,131,52.9,9.28,10.9
0,163,1,0,0,1,122.4,129,31,5.67,12.5
0,67,1,1,2.59,1,104.9,65,62.9,10.82,9.6
0,140,1,0,0,3,173.2,91,47,9.84,11.2
0,49,1,0,0,2,119.4,69,44,13.67,12.4
1,46,1,0,0,2,250.3,100,65,13.03,13.3
0,148,1,0,0.39,1,178.3,98,58.9,14.13,11.4
0,112,1,0,0,1,243.4,77,57,9.11,12.8
0,78,1,0,0,2,155,106,42,8.77,11.8
0,61,1,1,2.32,0,288.7,101,90.2,10.19,8.6
0,58,1,1,3.02,1,240.4,80,81.2,5.95,11.2
0,155,1,0,0,1,190.3,123,58,15.07,8
1,100,1,0,0.32,0,278,76,66.2,8.84,8.3
0,113,1,0,0,1,155,93,55,16.53,13.5
0,81,1,0,0,2,153.5,99,43,9.88,6.3
0,135,1,1,3.32,1,273.4,141,93.2,7.7,12.3
0,99,1,0,0,0,155.3,93,49,13.29,12.4
0,59,1,1,1.84,1,133.1,114,60.4,11.06,6.8
0,135,1,0,0,1,246.8,129,58,9.39,12.6
0,85,0,0,0,2,165.4,107,45,9.8,9.6
0,70,1,0,0.31,0,59.5,103,35.1,12.86,11.1
0,88,1,0,0,3,138.3,116,44,11.8,9.6
0,55,1,0,0,2,286.7,100,61,6.72,6.9
0,75,1,0,0.34,1,117.3,114,41.4,10.06,12.2
0,79,1,1,1.7,4,264.3,79,80,10.14,6.3
0,85,1,0,0.25,0,127.9,107,47.5,13.56,12.5
0,86,1,1,2.65,0,225.5,107,86.5,12.32,9.8
0,91,1,0,0,0,149,115,47,12.27,8.3
0,149,1,1,3.86,1,198.9,77,96.6,13.7,14.3
1,97,1,0,0,1,256.4,125,67,13.7,11.1
1,88,1,0,0,1,264.8,124,66,12.27,14.8
0,60,1,0,0,2,98.2,88,33,9.03,9.3
0,54,1,0,0.16,2,159.8,99,51.6,13.2,9.7
0,11,1,1,1.62,3,190.6,86,68.2,11.01,6
0,109,1,0,0,0,184,120,42,6.02,11
0,90,1,0,0,1,261.8,128,64,11.03,9.6
0,115,1,0,0,3,147.9,109,45,11.42,9.6
0,144,1,1,2.73,1,106.4,109,55.3,5.41,10.1
0,91,1,0,0,0,133.7,75,40,9.77,5.9
0,105,1,1,2.3,0,193.5,85,75,11.01,8.5
1,71,0,0,0,3,178.2,113,45,8.39,13.6
1,132,1,1,2.84,3,226.2,103,82.4,9.08,10.5
0,112,1,0,0.38,1,170.4,103,49.8,10.01,11.6
0,86,1,1,3,3,70.9,163,57,8.34,11.1
0,41,1,1,4.64,2,194.4,63,101.4,12.75,17.2
0,44,1,0,0,1,240.3,146,55,8.23,10.6
0,78,1,0,0,3,75,116,34,12.44,9.5
0,149,1,0,0,1,69.1,117,24,6.82,6.3
1,72,1,1,1.67,4,96.6,59,60.7,15.77,6.2
